test_case,quantity,method_name,total_time,cumulative_time,per_call_time
HST,100,SplitPoints,0.0006727,0.0011216000000000002,3.618064516129033e-05
HST,100,CreateTree,1.3e-06,0.0011909000000000002,0.0011909000000000002
HST,100,CreateTreeAux,5.6000000000000006e-05,0.0011851000000000001,1.8811111111111112e-05
HST,100,Start,2.3e-06,0.0015724,0.0015724
HST,100,SplitPoints,0.0006844,0.0011518000000000001,3.715483870967742e-05
HST,100,CreateTree,1.1e-06,0.0012247,0.0012247
HST,100,CreateTreeAux,5.8800000000000006e-05,0.0012188000000000001,1.9346031746031748e-05
HST,100,Start,2.2e-06,0.0015477000000000002,0.0015477000000000002
HST,100,SplitPoints,0.000675,0.0011476000000000001,3.7019354838709684e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0012163,0.0012163
HST,100,CreateTreeAux,5.61e-05,0.0012117,1.9233333333333334e-05
HST,100,Start,2.3e-06,0.0015528,0.0015528
HST,100,SplitPoints,0.0006996000000000001,0.00116,3.741935483870968e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012295000000000001,0.0012295000000000001
HST,100,CreateTreeAux,5.7600000000000004e-05,0.0012251,1.9446031746031747e-05
HST,100,Start,2.0000000000000003e-06,0.0015517,0.0015517
HST,100,SplitPoints,0.0006958,0.0011542,3.7232258064516126e-05
HST,100,CreateTree,1.1e-06,0.0012219000000000002,0.0012219000000000002
HST,100,CreateTreeAux,5.5400000000000005e-05,0.0012174,1.9323809523809522e-05
HST,100,Start,2.0000000000000003e-06,0.0015308000000000001,0.0015308000000000001
HST,100,SplitPoints,0.0006847,0.0011382,3.671612903225806e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0012066000000000002,0.0012066000000000002
HST,100,CreateTreeAux,5.58e-05,0.0012021,1.908095238095238e-05
HST,100,Start,2.2e-06,0.0015573000000000002,0.0015573000000000002
HST,100,SplitPoints,0.000684,0.0011607,3.7441935483870967e-05
HST,100,CreateTree,1.4000000000000001e-06,0.0012304,0.0012304
HST,100,CreateTreeAux,5.7100000000000006e-05,0.0012256,1.9453968253968256e-05
HST,100,Start,2.1000000000000002e-06,0.0015524,0.0015524
HST,100,SplitPoints,0.0006850000000000001,0.0011542,3.7232258064516126e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012245000000000001,0.0012245000000000001
HST,100,CreateTreeAux,5.8200000000000005e-05,0.0012201,1.9366666666666665e-05
HST,100,Start,2.5e-06,0.0021910000000000002,0.0021910000000000002
HST,100,SplitPoints,0.0007201,0.0017590000000000001,5.6741935483870975e-05
HST,100,CreateTree,1.4000000000000001e-06,0.0018307000000000002,0.0018307000000000002
HST,100,CreateTreeAux,5.8500000000000006e-05,0.0018248000000000001,2.8965079365079366e-05
HST,100,Start,2.1000000000000002e-06,0.0015595000000000001,0.0015595000000000001
HST,100,SplitPoints,0.0006912,0.0011597,3.740967741935484e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012281,0.0012281
HST,100,CreateTreeAux,5.5900000000000004e-05,0.0012235,1.942063492063492e-05
HST,100,Start,2.2e-06,0.0015372,0.0015372
HST,100,SplitPoints,0.0006915000000000001,0.0011436,3.689032258064516e-05
HST,100,CreateTree,1.1e-06,0.0012114,0.0012114
HST,100,CreateTreeAux,5.56e-05,0.0012068,1.9155555555555558e-05
HST,100,Start,2.1000000000000002e-06,0.0015767,0.0015767
HST,100,SplitPoints,0.0006791000000000001,0.0011539,3.722258064516129e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012538,0.0012538
HST,100,CreateTreeAux,8.740000000000001e-05,0.0012493,1.9830158730158732e-05
HST,100,Start,2.2e-06,0.001523699,0.001523699
HST,100,SplitPoints,0.000675,0.0011276,3.6374193548387096e-05
HST,100,CreateTree,1.1e-06,0.0011960990000000002,0.0011960990000000002
HST,100,CreateTreeAux,5.6299000000000004e-05,0.001191399,1.891109523809524e-05
HST,100,Start,2.2e-06,0.0015285000000000001,0.0015285000000000001
HST,100,SplitPoints,0.0006765,0.0011339,3.657741935483871e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012025,0.0012025
HST,100,CreateTreeAux,5.69e-05,0.001198,1.9015873015873016e-05
HST,100,Start,2.3e-06,0.0015168,0.0015168
HST,100,SplitPoints,0.0006698,0.0011251,3.629354838709677e-05
HST,100,CreateTree,1.3e-06,0.0011920000000000001,0.0011920000000000001
HST,100,CreateTreeAux,5.42e-05,0.0011869,1.8839682539682542e-05
HST,100,Start,2.1000000000000002e-06,0.0015068000000000002,0.0015068000000000002
HST,100,SplitPoints,0.0006653000000000001,0.0011153,3.5977419354838714e-05
HST,100,CreateTree,1.1e-06,0.0011814,0.0011814
HST,100,CreateTreeAux,5.380000000000001e-05,0.0011769,1.8680952380952382e-05
HST,100,Start,2.5e-06,0.0015375,0.0015375
HST,100,SplitPoints,0.0006725,0.001124,3.625806451612903e-05
HST,100,CreateTree,1.1e-06,0.0011941,0.0011941
