test_case,quantity,method_name,total_time,cumulative_time,per_call_time
HST,100,Start,5.500000000000001e-06,0.0030783000000000004,0.0030783000000000004
HST,100,CreateTree,2.8000000000000003e-06,0.0024389000000000004,0.0024389000000000004
HST,100,CreateTreeAux,0.0001138,0.0024273000000000003,3.8528571428571434e-05
HST,100,CreateTreeAux,0.0001138,0.0024273000000000003,3.8528571428571434e-05
HST,100,Start,7.000000000000001e-06,0.0033557,0.0033557
HST,100,CreateTree,3.6000000000000003e-06,0.0025338,0.0025338
HST,100,CreateTreeAux,0.00011310000000000001,0.0025151,3.992222222222223e-05
HST,100,CreateTreeAux,0.00011310000000000001,0.0025151,3.992222222222223e-05
HST,100,Start,5.3e-06,0.004262800000000001,0.004262800000000001
HST,100,CreateTree,3e-06,0.0036052000000000002,0.0036052000000000002
HST,100,CreateTreeAux,0.0001383,0.0035936,5.7041269841269844e-05
HST,100,CreateTreeAux,0.0001383,0.0035936,5.7041269841269844e-05
HST,100,Start,6.1e-06,0.0031389,0.0031389
HST,100,CreateTree,2.5e-06,0.002448,0.002448
HST,100,CreateTreeAux,0.0001292,0.0024337,3.863015873015873e-05
HST,100,CreateTreeAux,0.0001292,0.0024337,3.863015873015873e-05
HST,100,Start,6.200000000000001e-06,0.0031282000000000003,0.0031282000000000003
HST,100,CreateTree,3e-06,0.0025188000000000003,0.0025188000000000003
HST,100,CreateTreeAux,0.00010960000000000001,0.0025057,3.9773015873015874e-05
HST,100,CreateTreeAux,0.00010960000000000001,0.0025057,3.9773015873015874e-05
HST,100,Start,5.600000000000001e-06,0.0030832000000000004,0.0030832000000000004
HST,100,CreateTree,2.7e-06,0.0024598000000000003,0.0024598000000000003
HST,100,CreateTreeAux,0.0001116,0.0024496,3.8882539682539683e-05
HST,100,CreateTreeAux,0.0001116,0.0024496,3.8882539682539683e-05
HST,100,Start,6e-06,0.0027873000000000004,0.0027873000000000004
HST,100,CreateTree,2.5e-06,0.0022003,0.0022003
HST,100,CreateTreeAux,9.06e-05,0.002189,3.474603174603174e-05
HST,100,CreateTreeAux,9.06e-05,0.002189,3.474603174603174e-05
HST,100,Start,3.8e-06,0.0028688000000000003,0.0028688000000000003
HST,100,CreateTree,2.3e-06,0.0023358000000000003,0.0023358000000000003
HST,100,CreateTreeAux,0.00010460000000000001,0.0023261,3.692222222222223e-05
HST,100,CreateTreeAux,0.00010460000000000001,0.0023261,3.692222222222223e-05
HST,100,Start,5.1e-06,0.0026081000000000003,0.0026081000000000003
HST,100,CreateTree,2.5e-06,0.002052,0.002052
HST,100,CreateTreeAux,9.680000000000001e-05,0.0020401,3.238253968253968e-05
HST,100,CreateTreeAux,9.680000000000001e-05,0.0020401,3.238253968253968e-05
HST,100,Start,4.5e-06,0.0032491,0.0032491
HST,100,CreateTree,2.6e-06,0.0026258,0.0026258
HST,100,CreateTreeAux,0.0001123,0.0026156,4.151746031746032e-05
HST,100,CreateTreeAux,0.0001123,0.0026156,4.151746031746032e-05
HST,100,Start,5.4e-06,0.0033167,0.0033167
HST,100,CreateTree,2.6e-06,0.0025757,0.0025757
HST,100,CreateTreeAux,0.00011700000000000001,0.0025644,4.0704761904761905e-05
HST,100,CreateTreeAux,0.00011700000000000001,0.0025644,4.0704761904761905e-05
HST,100,Start,5.600000000000001e-06,0.0031316,0.0031316
HST,100,CreateTree,2.5e-06,0.0023712,0.0023712
HST,100,CreateTreeAux,0.0001033,0.0023569000000000003,3.7411111111111114e-05
HST,100,CreateTreeAux,0.0001033,0.0023569000000000003,3.7411111111111114e-05
HST,100,Start,4.7e-06,0.0025644,0.0025644
HST,100,CreateTree,2.1000000000000002e-06,0.0020156,0.0020156
HST,100,CreateTreeAux,9.44e-05,0.0020071,3.1858730158730155e-05
HST,100,CreateTreeAux,9.44e-05,0.0020071,3.1858730158730155e-05
HST,100,Start,5e-06,0.0027509,0.0027509
HST,100,CreateTree,2.6e-06,0.0022055,0.0022055
HST,100,CreateTreeAux,0.0001022,0.0021968,3.486984126984127e-05
HST,100,CreateTreeAux,0.0001022,0.0021968,3.486984126984127e-05
HST,100,Start,4.000000000000001e-06,0.0025169000000000003,0.0025169000000000003
